sigla,prcFlcn,closPric,dtTm
BRCR11,1.652542372881356,119.95,18:05:00
CNES11,-1.2724879333040808,90,17:18:00
BNFS11,-0.8396946564885496,129.9,18:05:00
FCFL11,2.7804878048780486,147.49,18:00:00
BBSD11,-0.6712102437009501,96.19,15:59:00
BBFI11B,0.26737967914438504,3000,18:05:00
BTTL3,4.411764705882353,7.1,17:38:00
BALM4,0,12,15:07:00
BBRC11,1.4578271433530023,146.15,18:05:00
RNDP11,-1.7576671694318753,977.02,18:05:00
RDPD11,0.8385269121813032,88.99,16:46:00
BBSE3,0.10940919037199125,36.6,18:07:00
BBPO11,0.08955758552749418,167.64,18:05:00
BRIV3,-5.370569280343717,8.81,18:00:00
ABCB4,-1.4713094654242276,20.09,18:07:00
ARZZ3,-0.5079365079365079,62.68,18:07:00
BAZA3,-2.45,39.02,15:36:00
ATTB34,0.7931472081218274,158.85,18:00:00
ATOM3,4.060913705583756,2.05,18:09:00
CRFB3,-2.3504273504273505,22.85,18:09:00
AZEV4T,12.454873646209386,6.23,17:57:00
AZUL4,0.18584220307484373,59.3,18:07:00
XBOV11,-1.0310171547392133,114.23,18:17:00
CRFF11,1.4685635612666361,110.55,17:47:00
FLRP11,0,1630,13:48:00
CXRI11,-0.12068822011628874,1679.99,17:26:00
FAMB11B,-3.4632,3620.13,18:05:00
THRA11,0,157.99,18:05:00
HCRI11,0.23160173160173161,463.07,18:06:00
NSLU11,0.3557312252964427,253.9,16:50:00
MAXR11,-0.0008189941114323388,2442,18:05:00
NVHO11,-3.0100334448160537,14.5,17:51:00
HTMX11,-1.1267605633802817,175.5,18:00:00
PQDP11,-0.7175531914893617,3733.02,18:07:00
BDLL4,-4.651162790697675,10.25,17:47:00
PRSV11,-2.955807883641555,435.02,13:41:00
SANB3,-1.4462809917355373,23.85,17:48:00
RBRR11,-1.3102820746132848,108.46,18:06:00
BRSR3,-0.4731182795698925,23.14,17:48:00
SANB11,-2.303346371142981,44.96,18:09:00
SANB4,-1.968864468864469,21.41,17:49:00
IDVL4,-11.071428571428571,4.98,18:06:00
IDVL3,0.5050505050505051,3.98,18:05:00
BMEB3,6.0606060606060606,14,12:36:00
BMEB4,0.6428571428571429,14.09,18:05:00
BPAN4,0.8695652173913043,11.6,18:06:00
BRSR6,-1.5173067804646752,20.77,18:07:00
PINE4,0.22123893805309736,4.53,18:06:00
BERK34,0.523359714066888,945,15:29:00
BMKS3,0,270,18:05:00
BHPG34,2.195394589760787,228.56,16:54:00
BIIB34,1.0943174011188537,206.01,16:53:00
BIOM3,-1.2048192771084338,16.4,18:00:00
HAGA3,-7.920792079207921,4.65,18:00:00
HCTR11,-0.45351473922902497,131.7,18:05:00
HALI34,-1.9058072241069646,98.31,17:10:00
HAGA4,-5.015673981191223,3.03,18:05:00
BSEV3,8.860759493670885,4.3,18:05:00
HABT11,-0.9565217391304348,113.9,18:05:00
HAPV3,-2.384,61.01,18:07:00
HGBS11,-0.15267175572519084,294.3,18:05:00
CAMB3,5.563480741797433,7.4,18:06:00
ATSA11,9.515873015873016,137.99,16:30:00
HLOG11,2.272727272727273,135,17:19:00
CNIC34,5.564770720744823,197.29,16:53:00
CAML3,-1.5086206896551724,9.14,18:05:00
CPTS11B,0.5130434782608696,115.59,18:00:00
CPFF11,0.8880491261218706,106.79,17:53:00
CBOP11,1.411024261496295,99.9,17:28:00
JRDM11,0.5202312138728323,104.34,18:05:00
TBOF11,-0.4878048780487805,102,18:00:00
SAIC11B,17.521968365553604,66.87,14:30:00
TRNT11,-4.1375,230.07,17:29:00
RECT11,0.42237738126023616,116.5,17:48:00
UBSR11,0.3063063063063063,111.34,18:05:00
VVPR11,-1.3448947089010794,111.5,18:00:00
ALMI11,3.3902439024390243,2119.5,18:00:00
OUFF11,1.468882875918052,105,17:45:00
VLOL11,-0.5446268899365957,122.35,18:00:00
WTSP11B,4.526572124337488,72.97,17:07:00
JBSS3,-0.313588850174216,28.61,18:07:00
BBVJ11,2.138790583166641,66.38,18:00:00
BARI11,0.3181818181818182,110.35,18:05:00
LVBI11,-0.3831417624521073,137.8,18:00:00
IBOV11,-0.6087981146897093,116403,18:16:00
JPSA3,-2.3095823095823094,39.76,18:13:00
RBBV11,0.13317056930418378,90.23,17:42:00
JNJB34,1.9631516274146599,616.51,18:00:00
JFEN3,6.930693069306931,5.4,18:09:00
JHSF3,1.6260162601626016,8.75,18:06:00
JPMC34,-0.36205395996518713,286.21,18:00:00
IDNT3,1.0416666666666667,3.88,18:13:00
IGTA3,-1.2644701691896705,55.44,18:07:00
JSLG3,0.31347962382445144,32,18:06:00
JSRE11,1.1804384485666104,120,18:06:00
IGBR3,0.5780346820809249,3.48,18:06:00
BLAK34,3.655571392638551,370.89,16:53:00
BRML3,-0.46826222684703434,19.13,18:07:00
BRAP3,0.34965034965034963,37.31,18:06:00
BOBR4,-3.3333333333333335,2.9,18:06:00
